variable,tipo_dato,grupo,descripcion,fuente
extorsion_yoy_change,float64,tendencia,Cambio year-over-year de extorsion: (x_t - x_t-12) / (x_t-12 + 1),Derivada de extorsion y extorsion_lag12
violencia_familiar_lag1,float64,lag,Conteo de violencia_familiar en t-1 (mes anterior),Derivada de violencia_familiar con shift(1)
violencia_familiar_lag2,float64,lag,Conteo de violencia_familiar en t-2 (hace 2 meses),Derivada de violencia_familiar con shift(2)
violencia_familiar_lag3,float64,lag,Conteo de violencia_familiar en t-3 (hace 3 meses),Derivada de violencia_familiar con shift(3)
violencia_familiar_lag12,float64,lag,Conteo de violencia_familiar en t-12 (mismo mes del anio anterior),Derivada de violencia_familiar con shift(12)
violencia_familiar_roll3_mean,float64,rolling,Media movil 3 meses de violencia_familiar (sin incluir mes actual),Derivada de violencia_familiar con shift(1).rolling(3)
violencia_familiar_roll6_mean,float64,rolling,Media movil 6 meses de violencia_familiar (sin incluir mes actual),Derivada de violencia_familiar con shift(1).rolling(6)
violencia_familiar_roll12_mean,float64,rolling,Media movil 12 meses de violencia_familiar (sin incluir mes actual),Derivada de violencia_familiar con shift(1).rolling(12)
violencia_familiar_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de violencia_familiar (sin incluir mes actual),Derivada de violencia_familiar con shift(1).rolling(3).std()
violencia_familiar_yoy_change,float64,tendencia,Cambio year-over-year de violencia_familiar: (x_t - x_t-12) / (x_t-12 + 1),Derivada de violencia_familiar y violencia_familiar_lag12
otros_lag1,float64,lag,Conteo de otros en t-1 (mes anterior),Derivada de otros con shift(1)
otros_lag2,float64,lag,Conteo de otros en t-2 (hace 2 meses),Derivada de otros con shift(2)
otros_lag3,float64,lag,Conteo de otros en t-3 (hace 3 meses),Derivada de otros con shift(3)
otros_lag12,float64,lag,Conteo de otros en t-12 (mismo mes del anio anterior),Derivada de otros con shift(12)
otros_roll3_mean,float64,rolling,Media movil 3 meses de otros (sin incluir mes actual),Derivada de otros con shift(1).rolling(3)
otros_roll6_mean,float64,rolling,Media movil 6 meses de otros (sin incluir mes actual),Derivada de otros con shift(1).rolling(6)
otros_roll12_mean,float64,rolling,Media movil 12 meses de otros (sin incluir mes actual),Derivada de otros con shift(1).rolling(12)
otros_roll3_std,float64,rolling,Desviacion estandar movil 3 meses de otros (sin incluir mes actual),Derivada de otros con shift(1).rolling(3).std()
otros_yoy_change,float64,tendencia,Cambio year-over-year de otros: (x_t - x_t-12) / (x_t-12 + 1),Derivada de otros y otros_lag12
covid_lockdown,int64,dummy,"1 si el mes es abril-junio 2020 (periodo de confinamiento estricto), 0 en caso contrario",Derivada de fecha
covid_period,int64,dummy,"1 si el anio es 2020 o 2021 (periodo general de pandemia), 0 en caso contrario",Derivada de fecha
crimen_violento_total,float64,target,Suma de homicidio_doloso + feminicidio + robo_violento + secuestro (variable objetivo),Derivada de conteos crudos
